,x,y,z,value,token
9805,-0.18713379,0.06903076,0.0060043335,0.00046157837, because ->  it
9806,-0.18066406,0.13000488,0.033355713,0.00046133995, When ->  you
9807,-0.18554688,0.08703613,-0.12243652,0.00046110153,", ->  m"
9808,-0.17773438,0.14123535,0.03475952,0.0004608631, When ->  we
9809,-0.18688965,0.07208252,0.024169922,0.0004606247, which ->  is
9810,-0.18737793,-0.050689697,0.05380249,0.0004606247, even ->  more
9811,-0.18737793,-0.0038032532,-0.0847168,0.0004606247, And ->  the
9812,-0.1875,0.043670654,-0.006385803,0.0004606247," addition -> ,"
9813,-0.18713379,0.059539795,-0.07757568,0.00046038628,", ->  these"
9814,-0.1875,0.020202637,0.021621704,0.00046014786, that ->  DEF
9815,-0.1875,-0.038879395,0.028808594,0.00046014786,There ->  are
9816,-0.18725586,0.06011963,0.035491943,0.00046014786, if ->  a
9817,-0.18737793,0.04071045,0.043029785,0.00045990944, that ->  the
9818,-0.1875,0.0061416626,0.01687622,0.00045990944, that ->  the
9819,-0.1875,0.016082764,0.01638794,0.00045967102, Apart ->  from
9820,-0.17077637,0.09234619,-0.25195312,0.00045967102, but ->  have
9821,-0.16516113,0.16894531,0.017318726,0.00045967102, when ->  the
9822,-0.18322754,0.11578369,0.036224365,0.00045967102, were ->  heart
9823,-0.18713379,0.059906006,0.03527832,0.0004594326,Following ->  the
9824,-0.06463623,0.21191406,-0.009132385,0.0004594326, before ->  the
9825,-0.18737793,0.033721924,-0.013679504,0.0004594326, whether ->  insomnia
9826,-0.1776123,0.14099121,0.026306152,0.0004594326, During ->  the
9827,-0.18737793,0.02822876,0.024642944,0.00045919418, whether ->  a
9828,-0.18737793,0.018234253,0.029800415,0.00045919418, think ->  that
9829,-0.18737793,0.025619507,0.04525757,0.00045919418, sound ->  like
9830,-0.18737793,0.013420105,0.020950317,0.00045919418, that ->  the
9831,-0.18737793,0.013076782,0.008399963,0.00045919418,", ->  the"
9832,-0.1854248,0.07092285,-0.14331055,0.00045919418,", ->  the"
9833,-0.18737793,0.009086609,0.02217102,0.00045919418,", ->  the"
9834,-0.18640137,0.08099365,-0.010978699,0.00045895576, because ->  the
9835,-0.07543945,0.21130371,0.0039405823,0.00045895576, when ->  the
9836,-0.18737793,0.016784668,0.008377075,0.00045895576," addition -> ,"
9837,-0.18713379,0.055786133,0.00957489,0.00045871735,without ->  a
9838,-0.18664551,0.074157715,0.04562378,0.00045871735, if ->  left
9839,-0.18713379,0.055999756,0.012886047,0.00045871735, whether ->  the
9840,-0.17504883,0.14819336,0.018203735,0.0004582405, when ->  the
9841,-0.18725586,-0.044006348,0.050994873,0.0004582405, Especially ->  impressive
9842,-0.17468262,0.14916992,0.04058838,0.0004582405, when ->  Moses
9843,-0.18054199,0.12915039,0.037750244,0.0004580021,Along ->  with
9844,-0.18725586,0.04031372,-0.049224854,0.0004580021,", ->  the"
9845,-0.055603027,0.2121582,-0.010292053,0.0004580021, when ->  they
9846,-0.18664551,0.06604004,-0.084472656,0.00045776367,", ->  the"
9847,-0.18725586,0.04095459,0.014221191,0.00045776367, Even ->  the
9848,-0.18701172,0.056640625,0.046020508,0.00045776367, to ->  the
9849,-0.18701172,0.05722046,0.010673523,0.00045776367," such -> ,"
9850,-0.18725586,0.009346008,0.044647217,0.00045752525, If ->  you
9851,-0.18713379,-0.04815674,0.010482788,0.00045752525, it ->  is
9852,-0.18725586,-0.038146973,0.039855957,0.00045752525,There ->  are
9853,-0.15026855,0.18579102,0.040283203,0.00045752525,When ->  you
9854,-0.18725586,0.029388428,0.035339355,0.00045752525, that ->  cholesterol
9855,-0.18725586,0.0058784485,-0.03643799,0.00045728683, And ->  the
9856,-0.18725586,-0.0060577393,0.03277588,0.00045728683,"Usually -> ,"
9857,-0.04434204,0.21228027,0.0015630722,0.00045728683, when ->  hydrogen
9858,-0.18005371,0.13110352,0.034484863,0.00045728683, when ->  they
9859,-0.1809082,0.1270752,0.025878906,0.00045728683, When ->  the
9860,-0.18713379,0.044311523,-0.026855469,0.00045728683, unless ->  the
9861,-0.17700195,0.07525635,-0.22729492,0.00045728683, but ->  it
9862,-0.18725586,0.027313232,0.03970337,0.00045728683, that ->  the
9863,-0.18713379,0.03878784,0.02255249,0.00045704842, If ->  the
9864,-0.18713379,0.030899048,0.019134521,0.00045681, whether ->  the
9865,-0.18713379,0.036376953,0.02128601,0.00045681, If ->  so
9866,-0.10546875,0.20690918,0.0070648193,0.00045681, long ->  as
9867,-0.18713379,0.029953003,0.036071777,0.00045681, that ->  it
9868,-0.18713379,0.01574707,0.019348145,0.00045681,", ->  the"
9869,-0.18713379,-0.02067566,-0.0001155138,0.00045681,"ically -> ,"
9870,-0.05142212,0.2121582,-0.025604248,0.00045681, when ->  the
9871,-0.11199951,0.20532227,0.010231018,0.00045681, when ->  it
9872,-0.18713379,-0.03414917,0.048034668,0.00045681,There ->  is
9873,-0.18713379,-0.021606445,0.00818634,0.00045657158, the ->  latter
9874,-0.1809082,0.12670898,0.025009155,0.00045657158,During ->  the
9875,-0.18664551,0.066223145,-0.05529785,0.00045657158,", ->  whole"
9876,-0.18713379,0.028259277,0.02418518,0.00045657158, whether ->  the
9877,-0.18579102,0.08721924,0.020965576,0.00045657158, as ->  new
9878,-0.18713379,-0.0056991577,-0.010147095,0.00045657158," far -> ,"
9879,-0.18713379,-0.004081726,0.027618408,0.00045657158,", ->  it"
9880,-0.18713379,0.01739502,0.022323608,0.00045657158, Once ->  you
9881,-0.10644531,0.20654297,0.016571045,0.00045657158, when ->  they
9882,-0.18713379,0.024734497,0.036254883,0.00045657158, If ->  you
9883,-0.18457031,0.08862305,-0.13635254,0.00045633316,", ->  some"
9884,-0.18688965,0.024047852,-0.08123779,0.00045609474,", ->  this"
9885,-0.18261719,0.085632324,-0.17590332,0.00045609474,", ->  it"
9886,-0.18701172,0.0418396,-0.0010709763,0.00045609474, and ->  it
9887,-0.18237305,0.11767578,-0.07836914,0.00045609474,", ->  the"
9888,-0.18664551,0.06451416,0.024887085,0.00045585632, if ->  it
9889,-0.18481445,0.099243164,0.027511597,0.00045585632,Looks ->  like
