,x,y,z,value,token
308,-0.61279297,-0.10803223,-0.15356445,0.3088379, new ->  technologies
309,-0.6113281,-0.05227661,0.46240234,0.30859375, New ->  York
310,-0.6113281,0.011451721,0.4506836,0.3083496, New ->  Guinea
311,-0.6123047,0.045898438,-0.17565918,0.3076172, new ->  cells
312,-0.61083984,-0.07354736,0.4868164,0.30737305, New ->  Jersey
313,-0.6118164,-0.07775879,-0.14343262,0.30664062, new ->  genes
314,-0.6113281,-0.20983887,-0.15576172,0.30639648, new ->  generation
315,-0.6113281,0.026504517,-0.16552734,0.30615234, new ->  blood
316,-0.61035156,0.082214355,0.41479492,0.30541992, New ->  York
317,-0.6098633,-0.021194458,0.46826172,0.30517578, New ->  Guinea
318,-0.61083984,-0.14660645,-0.17248535,0.30444336, new ->  investments
319,-0.6098633,0.0385437,0.41430664,0.30419922, New ->  York
320,-0.6098633,-0.20471191,0.36816406,0.30395508, New ->  York
321,-0.609375,-0.014633179,0.45239258,0.30395508, New ->  York
322,-0.61035156,-0.109191895,-0.16601562,0.30395508, new ->  era
323,-0.61035156,0.014228821,-0.15209961,0.30395508, new ->  areas
324,-0.609375,-0.08099365,0.43920898,0.30371094, New ->  York
325,-0.6088867,-0.047210693,0.43969727,0.30322266, New ->  Zealand
326,-0.6098633,-0.07989502,-0.16503906,0.30273438, new ->  shortages
327,-0.6098633,-0.11212158,-0.21032715,0.30273438, new ->  way
328,-0.60839844,-0.04156494,0.4951172,0.30273438, New ->  Haven
329,-0.60839844,0.039794922,0.484375,0.3022461, New ->  York
330,-0.609375,-0.22387695,-0.1685791,0.30200195, new ->  skin
331,-0.609375,-0.066467285,-0.08148193,0.3017578, new ->  city
332,-0.609375,-0.056152344,-0.035003662,0.3017578, new ->  covenant
333,-0.609375,-0.12310791,-0.14941406,0.3017578, new ->  technology
334,-0.6088867,-0.18823242,-0.15649414,0.30151367, new ->  research
335,-0.6088867,-0.037719727,-0.21130371,0.30126953, new ->  dream
336,-0.6088867,-0.14794922,-0.1262207,0.30126953, new ->  page
337,-0.60839844,-0.041259766,-0.2286377,0.2998047, new ->  financial
338,-0.60839844,-0.13952637,-0.2010498,0.2998047, new ->  generation
339,-0.60839844,-0.025772095,-0.1595459,0.29956055, new ->  inventions
340,-0.60839844,-0.10595703,-0.093933105,0.29956055, new ->  buildings
